id,name,sex,year,form,house,tutor,dob,age_sept,heritage,home_language,eal,pupil_premium,sen_status,sen_primary_need,avg_working_grade,reading_age,best_subject,weakest_subject,attendance_pct,lates_this_term,behaviour_points,detentions,suspensions,behaviour_tier,attendance_concern,emotionally_based_school_avoidance,description
HAR1260,Hanan Barakat,F,8,8C,Channelsea,Miss L. Vance,2013-11-04,12.8,Arab,Arabic (Levantine),No,No,None,,4.1,10y 10m,Science,Music,100.0,0,21,1,0,ok,False,False,"Hanan Barakat is quiet to the point of being invisible in some lessons and staff have to make an effort to notice her. Reports are consistent: strong in Science, weak in Music, average grade 4.1. 21 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance sits at 100.0% with no unauthorised absence. Lives on the Carpenters Estate with mum only. Housing changed twice in the last two years and you can see it in the exercise books. Known across the year for Tottenham. Looked-after child, placed with foster carers in the borough since Year 8."
HAR1261,Alishba Zaman,F,8,8C,Channelsea,Miss L. Vance,2014-07-03,12.2,British Pakistani,Pashto,Yes - fluent,Yes,SEN Support (K),Physical Disability,1.5,8y 3m,Maths,Science,91.5,18,22,2,0,ok,False,False,"Alishba Zaman has Physical Disability, which shapes how she copes with a full timetable in a building this loud. Sits on grade 1.5 overall. Teachers in Maths rate her highly, staff in Science much less so. 22 points logged - low-level stuff: chatting, out of seat, phone on the desk. Attendance 91.5%, which the year team are keeping an eye on. Lives on the houses off Green Street with mum and a disabled younger brother. Runs Eco Club and takes it more seriously than most of the staff do."
HAR1262,Farhana Khan,F,8,8C,Channelsea,Miss L. Vance,2014-03-07,12.5,British Bangladeshi,Bengali,Yes - fluent,Yes,SEN Support (K),SpLD - Dyscalculia,6.1,10y 5m,Science,PE,100.0,1,66,10,0,mixed,False,False,"Farhana Khan sits mid-table across the board and is happy there, which frustrates her tutor. Average working grade 6.1. Science is well above the rest; PE is dragging the profile down. 66 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance 100.0%. The only absences are medical and always covered by a note. Lives on the Manor Park end with aunt and uncle and five cousins. Older siblings came through Harford as well and staff remember the surname. Talks about K-pop constantly, in and out of lesson."
HAR1263,Bartek Szymanska,M,8,8C,Channelsea,Miss L. Vance,2014-08-28,12.0,White Other (Polish),Polish,Yes - fluent,Yes,None,,4.3,10y 5m,PE,Computing,94.0,3,89,8,0,mixed,False,False,"Bartek Szymanska is reliable in lessons he likes and drifts badly in the ones he doesn't. Average of 4.3 across the board, with a big spread between PE and Computing. 89 points logged - low-level stuff: chatting, out of seat, phone on the desk. 94.0% attendance - enough to trigger a letter home but not a fine. Lives on the flats behind the Roman Road with an older sister who does most of the parenting. English isn't the main language at home, so letters get read by an older sibling. Goes to boxing club at the community gym every week without fail."
HAR1264,Akosua Boateng,F,8,8C,Channelsea,Miss L. Vance,2013-09-18,13.0,Black African (Ghanaian),Ga,Yes - developing,No,None,,4.9,12y 9m,Maths,English,97.1,2,9,3,0,ok,False,False,"Akosua Boateng is pleasant, chatty and easily distracted, but the work gets done in the end. Reports are consistent: strong in Maths, weak in English, average grade 4.9. 9 behaviour points and 3 detentions, all for the same three things. 97.1% attendance and always on time. Lives in a one-bed with the living room as a bedroom with an uncle who is also her named carer. Supportive at home, but stretched thin. Known across the year for K-pop."
HAR1265,Jubayer Kabir,M,8,8C,Channelsea,Miss L. Vance,2013-10-21,12.9,British Bangladeshi,Sylheti,Yes - fluent,Yes,None,,4.0,11y 0m,PE,English,90.8,17,201,38,2,poor,False,False,"Jubayer Kabir is the reason three departments have moved seating plans this year. Average of 4.0 across the board, with a big spread between PE and English. 201 behaviour points and 38 detentions. Told a cover teacher to ""fuck off"" in March and got two days internal. 90.8% attendance - enough to trigger a letter home but not a fine. Lives on the houses off Green Street with both parents, both working in the family business. Goes to gaming club every week without fail. Recently bereaved - lost his grandfather last year and it shows."
HAR1266,Tanisha Campbell,F,8,8C,Channelsea,Miss L. Vance,2013-09-22,12.9,Black Caribbean / Mixed Black Caribbean,English,No,Yes,EHCP,SpLD - Dyslexia,5.0,11y 10m,Science,Spanish,99.0,1,194,20,1,poor,False,False,"Tanisha Campbell has a temper that goes from nought to shouting in about four seconds. Reports are consistent: strong in Science, weak in Spanish, average grade 5.0. 194 behaviour points, 20 detentions, 1 suspension - the worst being a fight in the DT corridor that took three staff to break up. Attendance sits at 99.0% with no unauthorised absence. Home is in a maisonette off the high street with mum and three younger siblings. Parents' evening attendance is patchy, and it's shift work rather than a lack of interest. Talks about West Ham constantly, in and out of lesson. EHCP names 5 hours of TA support a week and access arrangements for exams."
HAR1267,Kymani Beckford,M,8,8C,Channelsea,Miss L. Vance,2014-05-17,12.3,Black Caribbean / Mixed Black Caribbean,Jamaican Patois,No,Yes,None,,2.6,9y 11m,History,English,84.1,17,159,17,0,poor,True,False,"Kymani Beckford does not walk away from anything, which is most of the problem. Average of 2.6 across the board, with a big spread between History and English. Reading age of 9y 11m against a chronological age of 12y 3m, which is the root of most of it. 159 behaviour points and 0 suspensions. Refuses to accept a sanction from anyone he hasn't decided he likes. Attendance 84.1% - persistently absent and now with the Education Welfare Officer. Lives on the estate off Barking Road with dad and stepmum, in a house with a converted loft room. Runs table tennis and takes it more seriously than most of the staff do."
HAR1268,Abel Asfaw,M,8,8C,Channelsea,Miss L. Vance,2013-12-16,12.7,Black African (Horn of Africa),Oromo,No,No,SEN Support (K),SpLD - Dyscalculia,1.2,7y 0m,English,French,84.9,22,231,22,1,poor,True,False,"Abel Asfaw is on the SEND register for SpLD - Dyscalculia and has a one-page profile all staff are meant to have read. Working at grade 1.2 on average, with English the clear strength and French the obvious weak spot. Reading age of 7y 0m against a chronological age of 12y 8m, which is the root of most of it. 231 points and 22 detentions. Screamed ""I don't give a shit"" across a full canteen and was removed for the afternoon. 84.9% attendance. The school has issued a formal warning and a penalty notice is on the table. Lives in a terraced house shared with an aunt's family with mum only. Supportive at home, but stretched thin. Runs STEM club and takes it more seriously than most of the staff do."
HAR1269,Precious Okafor,F,8,8C,Channelsea,Miss L. Vance,2014-07-03,12.2,Black African (Nigerian),Edo,Yes - new to English,No,SEN Support (K),"SEMH - Social, Emotional & Mental Health",1.0,7y 1m,Science,English,71.0,16,209,25,1,poor,True,False,"Precious Okafor joined Harford two years ago with almost no English and has come a long way, fast. Currently 1.0 on average - on target in Science, a full two grades off in English. 209 behaviour points, 25 detentions, 1 suspension - the worst being a fight in the DT corridor that took three staff to break up. Attendance 71.0% - persistently absent and now with the Education Welfare Officer. Home is in a one-bed with the living room as a bedroom with aunt and uncle and five cousins. Nobody at home has the confidence to challenge the school, which staff are conscious of. One of the leaders in drama club; it's the one place she's consistently brilliant."
HAR1270,Klaudio Gashi,M,8,8C,Channelsea,Miss L. Vance,2014-01-21,12.6,White Other (Albanian),Albanian,No,Yes,None,,4.6,11y 8m,English,Computing,85.3,11,24,1,0,ok,True,False,"Klaudio Gashi is a grafter. Nothing comes easily but he keeps showing up and keeps trying. Average of 4.6 across the board, with a big spread between English and Computing. 24 behaviour points and 1 detentions, all for the same three things. 85.3% attendance. The school has issued a formal warning and a penalty notice is on the table. Lives on the towers on Devons Road with dad, who works two jobs, in temporary accommodation. Goes to young carers group every week without fail."
HAR1271,Zain Hussain,M,8,8D,Ravensbourne,Mr P. Considine,2014-07-06,12.2,British Pakistani,Punjabi,Yes - fluent,Yes,None,,5.0,10y 10m,Science,English,81.8,7,235,33,0,poor,True,False,"Zain Hussain has a temper that goes from nought to shouting in about four seconds. Average of 5.0 across the board, with a big spread between Science and English. 235 points and 33 detentions. Walked out of Maths shouting ""this lesson is dead"" and slammed the door hard enough to crack the glass. 81.8% attendance. The school has issued a formal warning and a penalty notice is on the table. Lives on the Beckton end with grandmother as main carer, in temporary accommodation. Runs boxercise and takes it more seriously than most of the staff do. On a pastoral support plan after a difficult autumn term."
HAR1272,Sadaf Mahmood,F,8,8D,Ravensbourne,Mr P. Considine,2013-10-09,12.9,British Pakistani,Pashto,Yes - fluent,No,None,,5.8,12y 7m,Food Technology,Geography,100.0,3,29,2,0,ok,False,False,"Sadaf Mahmood is a grafter. Nothing comes easily but she keeps showing up and keeps trying. Average working grade 5.8. Food Technology is well above the rest; Geography is dragging the profile down. 29 behaviour points, mostly talking, phones and being late to period one. Attendance 100.0% - never an issue. At home it's both parents, both working in the family business, in a council flat on the fourth floor. One of the leaders in cheerleading; it's the one place she's consistently brilliant. Working with the school counsellor weekly."
HAR1273,Bethany Hughes,F,8,8D,Ravensbourne,Mr P. Considine,2014-08-01,12.1,White British,English,No,Yes,None,,3.6,9y 7m,English,Science,99.4,4,5,0,0,good,False,False,"Bethany Hughes is reliable in lessons she likes and drifts badly in the ones she doesn't. Currently 3.6 on average - on target in English, a full two grades off in Science. Reading age assessed at 9y 7m. Everything else follows from that. 5 behaviour points, which for this school is nothing at all. 99.4% attendance and always on time. Lives on the new blocks by the canal with dad and stepmum. One of the leaders in robotics club; it's the one place she's consistently brilliant."
HAR1274,Tahmid Sarker,M,8,8D,Ravensbourne,Mr P. Considine,2014-08-13,12.1,British Bangladeshi,Bengali,Yes - fluent,No,SEN Support (K),"SEMH - Social, Emotional & Mental Health",5.4,10y 1m,English,Design & Technology,92.3,4,18,2,0,ok,False,False,"Tahmid Sarker has SEMH - Social, Emotional & Mental Health and works with the SEN team most weeks. Working at grade 5.4 on average, with English the clear strength and Design & Technology the obvious weak spot. 18 points logged - low-level stuff: chatting, out of seat, phone on the desk. Attendance 92.3%. Punctuality is the bigger problem: 4 lates this term. Lives on the Aldgate side of the borough with grandmother as main carer, in a one-bed with the living room as a bedroom. Would rather be at dance troupe than in any lesson and says so openly."
HAR1275,Harleen Bhatt,F,8,8D,Ravensbourne,Mr P. Considine,2013-12-09,12.7,British Indian,Malayalam,Yes - fluent,Yes,SEN Support (K),ADHD (SEMH/medical),1.0,8y 8m,Music,English,89.3,5,8,3,0,ok,True,False,"Harleen Bhatt has decided school isn't for her and spends most lessons proving it. Average of 1.0 across the board, with a big spread between Music and English. Reading age of 8y 8m against a chronological age of 12y 8m, which is the root of most of it. 8 behaviour points and 3 detentions, all for the same three things. Attendance 89.3%. Punctuality is the bigger problem: 5 lates this term. Lives on the Manor Park end with mum, stepdad and a new baby, in a council flat on the fourth floor. Would rather be at peer mentoring than in any lesson and says so openly."
HAR1276,Kotryna Balciunas,F,8,8D,Ravensbourne,Mr P. Considine,2013-11-21,12.8,White Other (Lithuanian),Lithuanian,No,No,SEN Support (K),"SLCN - Speech, Language & Communication",6.8,12y 2m,PE,English,96.5,4,21,1,0,ok,False,False,"Kotryna Balciunas is one of those students who makes a lesson easier just by being in it. Reports are consistent: strong in PE, weak in English, average grade 6.8. 21 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance sits at 96.5% with no unauthorised absence. Lives on the Chrisp Street area with mum only, in a one-bed with the living room as a bedroom. Money is tight and everyone in the house knows it. Known across the year for football stats and fantasy leagues."
HAR1277,Diogo Ferreira,M,8,8D,Ravensbourne,Mr P. Considine,2014-05-19,12.3,White Other (Portuguese / Brazilian),Portuguese,Yes - developing,Yes,None,,5.0,12y 2m,PE,English,97.1,1,45,12,0,mixed,False,False,"Diogo Ferreira is a grafter. Nothing comes easily but he keeps showing up and keeps trying. Average working grade 5.0. PE is well above the rest; English is dragging the profile down. 45 behaviour points, mostly talking, phones and being late to period one. Attendance sits at 97.1% with no unauthorised absence. Lives in a one-bed with the living room as a bedroom with mum and her partner. Whoever's home in the morning is doing four school runs, so he's largely left to sort himself out. Quietly good at West Ham, which nobody at school knew until Year 9. Young carer - registered with the borough."
HAR1278,Chinwe Adebayo,F,8,8D,Ravensbourne,Mr P. Considine,2014-04-27,12.3,Black African (Nigerian),Yoruba,No,No,None,,4.3,11y 4m,English,French,61.2,18,26,1,0,ok,True,True,"Chinwe Adebayo has had long spells out of lessons and is being reintegrated slowly. Currently 4.3 on average - on target in English, a full two grades off in French. 26 points logged - low-level stuff: chatting, out of seat, phone on the desk. 61.2% attendance. The school has issued a formal warning and a penalty notice is on the table. At home it's an uncle who is also her named carer, above a shop on the parade. One of the leaders in library monitors; it's the one place she's consistently brilliant."
HAR1279,Lewis Hendricks,M,8,8D,Ravensbourne,Mr P. Considine,2014-04-09,12.4,White British,English,No,No,None,,1.4,8y 3m,English,Maths,93.7,4,53,8,0,mixed,False,False,"Lewis Hendricks has decided school isn't for him and spends most lessons proving it. Sits on grade 1.4 overall. Teachers in English rate him highly, staff in Maths much less so. 53 points logged - low-level stuff: chatting, out of seat, phone on the desk. Attendance has slipped to 93.7% and there's a pattern of Monday mornings. Lives on the new blocks by the canal with both parents, both working in the family business. Talks about fishing on the Lea constantly, in and out of lesson."
HAR1280,Yalini Kandasamy,F,8,8D,Ravensbourne,Mr P. Considine,2014-02-12,12.6,Asian Other (Sri Lankan Tamil),Tamil,Yes - fluent,Yes,SEN Support (K),ASD - Autism Spectrum Condition,4.3,9y 7m,French,Food Technology,81.5,18,233,17,1,poor,True,False,"Yalini Kandasamy is on the SEND register for ASD - Autism Spectrum Condition and has a one-page profile all staff are meant to have read. Sits on grade 4.3 overall. Teachers in French rate her highly, staff in Food Technology much less so. 233 points and 17 detentions. Screamed ""I don't give a shit"" across a full canteen and was removed for the afternoon. Attendance 81.5% and falling. Weeks go by where nobody sees her. Lives on the towers on Devons Road with mum and a disabled younger brother. Supportive at home, but stretched thin. Quietly good at cars and car spotting, which nobody at school knew until Year 9. Looked-after child, placed with foster carers in the borough since Year 8."
HAR1281,Reggie Sparrow,M,8,8D,Ravensbourne,Mr P. Considine,2014-07-26,12.1,White British,English,No,No,None,,6.3,12y 10m,Maths,PE,100.0,0,25,4,0,ok,False,False,"Reggie Sparrow is a solid, steady student who does what's asked and not a great deal more. Average of 6.3 across the board, with a big spread between Maths and PE. 25 behaviour points and 4 detentions, all for the same three things. Attendance 100.0% - never an issue. Lives on the Bow Common side with mum, dad and four siblings, in a one-bed with the living room as a bedroom. English isn't the main language at home, so letters get read by an older sibling. Spends every break on customising trainers."
HAR1282,Nyla Whyte,F,8,8D,Ravensbourne,Mr P. Considine,2014-01-03,12.7,Black Caribbean / Mixed Black Caribbean,English,No,No,None,,1.4,8y 7m,English,Maths,88.1,9,63,12,0,mixed,True,False,"Nyla Whyte has been on the intervention list for two years and progress has been slow at best. Average working grade 1.4. English is well above the rest; Maths is dragging the profile down. Reading age 8y 7m - well below her actual age of 12y 7m - so she can't access half the exam papers unaided. 63 behaviour points, mostly talking, phones and being late to period one. 88.1% attendance - enough to trigger a letter home but not a fine. Home is in a flat with a lift that never works with mum and three younger siblings. Housing changed twice in the last two years and you can see it in the exercise books. Big into sewing and altering clothes."
HAR1283,Kavitha Sharma,F,8,8D,Ravensbourne,Mr P. Considine,2014-04-27,12.3,British Indian,Malayalam,No,Yes,None,,6.6,12y 7m,Spanish,Drama,96.3,4,15,1,0,ok,False,False,"Kavitha Sharma is quietly brilliant - the sort of student who hands work in early and then asks for more. Average of 6.6 across the board, with a big spread between Spanish and Drama. 15 points logged - low-level stuff: chatting, out of seat, phone on the desk. Attendance 96.3%. The only absences are medical and always covered by a note. Lives with an uncle who is also her named carer in temporary accommodation. English isn't the main language at home, so letters get read by an older sibling. Big into sewing and altering clothes."
HAR1284,Vlad Popescu,M,8,8D,Ravensbourne,Mr P. Considine,2014-03-11,12.5,White Other (Romanian),Romanian,Yes - fluent,Yes,None,,6.2,12y 1m,Maths,Computing,96.9,2,47,7,0,mixed,False,False,"Vlad Popescu is reliable in lessons he likes and drifts badly in the ones he doesn't. Sits on grade 6.2 overall. Teachers in Maths rate him highly, staff in Computing much less so. 47 points logged - low-level stuff: chatting, out of seat, phone on the desk. Attendance 96.9%. The only absences are medical and always covered by a note. Lives on the Manor Park end with dad, who works two jobs, in a terraced house shared with an aunt's family. Spends every break on West Ham."
HAR1285,Nabila Mia,F,8,8D,Ravensbourne,Mr P. Considine,2013-12-03,12.7,British Bangladeshi,Sylheti,No,Yes,None,,7.9,14y 11m,English,Science,100.0,2,23,4,0,ok,False,False,"Nabila Mia sits near the front, works from the second the bell goes, and rarely needs telling twice. Reports are consistent: strong in English, weak in Science, average grade 7.9. 23 behaviour points, mostly talking, phones and being late to period one. Attendance sits at 100.0% with no unauthorised absence. Lives on the towers on Devons Road with both parents and an older brother, in a two-bed flat. Quietly good at producing beats on FL Studio, which nobody at school knew until Year 9."
HAR1286,Khadija Sheikh,F,8,8D,Ravensbourne,Mr P. Considine,2014-02-09,12.6,Black African (Somali),Somali,Yes - developing,Yes,None,,1.1,9y 8m,English,Maths,92.1,2,12,1,0,ok,False,False,"Khadija Sheikh has decided school isn't for her and spends most lessons proving it. Reports are consistent: strong in English, weak in Maths, average grade 1.1. Reading age of 9y 8m against a chronological age of 12y 6m, which is the root of most of it. 12 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. 92.1% attendance - enough to trigger a letter home but not a fine. Lives in a house with a converted loft room with mum and a disabled younger brother. The commute in is two buses and it shows in the punctuality data. Spends every break on fishing on the Lea."
HAR1287,Alina Nistor,F,8,8D,Ravensbourne,Mr P. Considine,2014-08-04,12.1,White Other (Romanian),Romanian,Yes - fluent,No,None,,6.0,11y 6m,English,PE,96.0,1,179,32,3,poor,False,False,"Alina Nistor is the loudest voice in every corridor between lessons. Average of 6.0 across the board, with a big spread between English and PE. 179 points, 32 detentions. Told her Head of Year, word for word, that the school could ""do one"" - then apologised properly the next day, which is the frustrating bit. Attendance 96.0% - never an issue. Lives on the new blocks by the canal with mum and a disabled younger brother, in a flat with a lift that never works. One of the leaders in basketball; it's the one place she's consistently brilliant. Mentored by the school's attendance and inclusion lead."
HAR1288,Emre Demir,M,8,8D,Ravensbourne,Mr P. Considine,2014-02-01,12.6,White Other (Turkish / Kurdish),Zazaki,Yes - fluent,Yes,None,,3.3,10y 5m,Food Technology,Science,96.9,0,29,1,0,ok,False,False,"Emre Demir is one of the lowest attainers in Year 8 and the department has run out of easy ideas. Currently 3.3 on average - on target in Food Technology, a full two grades off in Science. Reading age 10y 5m - well below his actual age of 12y 6m - so he can't access half the exam papers unaided. 29 behaviour points, mostly talking, phones and being late to period one. Attendance 96.9%. The only absences are medical and always covered by a note. Lives in a two-bed flat with both parents and twin sisters. It's a full house and a quiet space to do homework doesn't really exist. Would rather be at choir than in any lesson and says so openly."
HAR1289,Razvan Stan,M,8,8D,Ravensbourne,Mr P. Considine,2014-05-03,12.3,White Other (Romanian),Romanian,No,Yes,None,,7.1,12y 8m,Design & Technology,English,88.0,11,4,0,0,good,True,False,"Razvan Stan reads well above his age and has an answer for everything, usually the right one. Design & Technology is his best subject by a distance. English is the one his tutor has to chase every report. 4 points logged, every one of them for uniform or equipment rather than conduct. Attendance 88.0%. Punctuality is the bigger problem: 11 lates this term. Lives with both parents and twin sisters in a flat with a lift that never works. Known across the year for Chelsea."
HAR1290,Nabila Khan,F,8,8D,Ravensbourne,Mr P. Considine,2014-02-18,12.5,British Bangladeshi,Bengali,Yes - fluent,No,None,,3.7,10y 6m,Maths,English,78.4,5,148,24,3,poor,True,False,"Nabila Khan is bright enough to be doing well and chooses, daily, not to. Average working grade 3.7. Maths is well above the rest; English is dragging the profile down. Reading age of 10y 6m against a chronological age of 12y 6m, which is the root of most of it. 148 behaviour points, 24 detentions, 3 suspensions - the worst being a fight in the DT corridor that took three staff to break up. 78.4% attendance. The school has issued a formal warning and a penalty notice is on the table. Lives with both parents and an older brother in a terraced house shared with an aunt's family. Big into Millwall."
HAR1291,Kamrul Karim,M,8,8D,Ravensbourne,Mr P. Considine,2013-10-27,12.8,British Bangladeshi,Bengali,Yes - developing,Yes,SEN Support (K),MLD - Moderate Learning Difficulty,1.1,8y 4m,RE,English,85.1,21,132,32,0,poor,True,False,"Kamrul Karim does not walk away from anything, which is most of the problem. Average working grade 1.1. RE is well above the rest; English is dragging the profile down. 132 points, 32 detentions. Told his Head of Year, word for word, that the school could ""do one"" - then apologised properly the next day, which is the frustrating bit. 85.1% attendance. The school has issued a formal warning and a penalty notice is on the table. At home it's both parents and an older brother, in a terraced house shared with an aunt's family. Parents' evening attendance is patchy, and it's shift work rather than a lack of interest. Would rather be at school council than in any lesson and says so openly."
HAR1292,Vlad Stan,M,8,8D,Ravensbourne,Mr P. Considine,2014-01-01,12.7,White Other (Romanian),Romani,Yes - fluent,Yes,SEN Support (K),Hearing Impairment,5.4,10y 10m,English,Food Technology,87.4,7,12,1,0,ok,True,False,"Vlad Stan is on the SEND register for Hearing Impairment and has a one-page profile all staff are meant to have read. Working at grade 5.4 on average, with English the clear strength and Food Technology the obvious weak spot. 12 points logged - low-level stuff: chatting, out of seat, phone on the desk. Attendance 87.4%. Two attendance meetings held, one missed by the family. Lives in a flat with a lift that never works with an uncle who is also his named carer. Housing changed twice in the last two years and you can see it in the exercise books. One of the leaders in Eco Club; it's the one place he's consistently brilliant."
HAR1293,Jasmin Talukder,F,8,8D,Ravensbourne,Mr P. Considine,2013-12-18,12.7,British Bangladeshi,Sylheti,No,No,None,,6.0,12y 1m,Maths,Spanish,85.8,3,17,2,0,ok,True,False,"Jasmin Talukder is reliable in lessons she likes and drifts badly in the ones she doesn't. Sits on grade 6.0 overall. Teachers in Maths rate her highly, staff in Spanish much less so. 17 points logged - low-level stuff: chatting, out of seat, phone on the desk. Attendance 85.8% - persistently absent and now with the Education Welfare Officer. At home it's mum, stepdad and a new baby, in a flat with a lift that never works. Parents' evening attendance is patchy, and it's shift work rather than a lack of interest. Obsessed with BMX to the point of doing homework about it unprompted."
HAR1294,Bukola Adebayo,F,8,8D,Ravensbourne,Mr P. Considine,2014-01-19,12.6,Black African (Nigerian),Yoruba,Yes - fluent,Yes,SEN Support (K),SpLD - Dyslexia,2.3,8y 5m,Maths,English,87.9,11,84,7,0,mixed,True,False,"Bukola Adebayo struggles across almost every subject and has more or less stopped pretending otherwise. Average of 2.3 across the board, with a big spread between Maths and English. Literacy is the bottleneck: reading age 8y 5m and handwriting that she's embarrassed about. 84 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance 87.9% - persistently absent and now with the Education Welfare Officer. Lives on the flats behind the Roman Road with mum, stepdad and a new baby. English isn't the main language at home, so letters get read by an older sibling. Talks about sewing and altering clothes constantly, in and out of lesson."
HAR1295,Louise Baker,F,8,8D,Ravensbourne,Mr P. Considine,2014-03-24,12.4,White British,English,No,No,SEN Support (K),"SEMH - Social, Emotional & Mental Health",1.0,7y 10m,English,English,85.8,12,230,16,1,poor,True,False,"Louise Baker has SEMH - Social, Emotional & Mental Health and works with the SEN team most weeks. Currently 1.0 on average - on target in English, a full two grades off in English. Literacy is the bottleneck: reading age 7y 10m and handwriting that she's embarrassed about. 230 behaviour points, 1 suspension, and a permanent exclusion narrowly avoided after an incident with a vape and a fire alarm. 85.8% attendance. The school has issued a formal warning and a penalty notice is on the table. Lives on the towers on Devons Road with mum, stepdad and a new baby, in a house with a converted loft room. It's a full house and a quiet space to do homework doesn't really exist. One of the leaders in steel pans; it's the one place she's consistently brilliant. Looked-after child, placed with foster carers in the borough since Year 8."
HAR1296,Oluwatoyin Adeyemi,F,8,8D,Ravensbourne,Mr P. Considine,2014-05-08,12.3,Black African (Nigerian),Nigerian Pidgin,Yes - fluent,No,None,,4.7,10y 9m,Maths,Science,93.3,1,11,4,0,ok,False,False,"Oluwatoyin Adeyemi is reliable in lessons she likes and drifts badly in the ones she doesn't. Currently 4.7 on average - on target in Maths, a full two grades off in Science. 11 behaviour points and 4 detentions, all for the same three things. 93.3% attendance - enough to trigger a letter home but not a fine. Lives with both parents and twin sisters above a shop on the parade. Nobody at home has the confidence to challenge the school, which staff are conscious of. Quietly good at graffiti and lettering, which nobody at school knew until Year 9."
HAR1297,Aisha Aslam,F,8,8D,Ravensbourne,Mr P. Considine,2014-03-24,12.4,British Pakistani,Punjabi,Yes - fluent,Yes,None,,5.5,12y 9m,Geography,Maths,92.8,0,3,0,0,good,False,False,"Aisha Aslam is reliable in lessons she likes and drifts badly in the ones she doesn't. Average working grade 5.5. Geography is well above the rest; Maths is dragging the profile down. 3 behaviour points, which for this school is nothing at all. Attendance 92.8%. Punctuality is the bigger problem: 0 lates this term. Lives in a maisonette off the high street with both parents and an older brother. Money is tight and everyone in the house knows it. Runs table tennis and takes it more seriously than most of the staff do."
HAR1298,Labiba Ali,F,8,8D,Ravensbourne,Mr P. Considine,2014-01-20,12.6,British Bangladeshi,Bengali,Yes - fluent,Yes,None,,2.4,10y 2m,Art,Geography,96.0,1,16,4,0,ok,False,False,"Labiba Ali is one of the lowest attainers in Year 8 and the department has run out of easy ideas. Sits on grade 2.4 overall. Teachers in Art rate her highly, staff in Geography much less so. Reading age 10y 2m - well below her actual age of 12y 7m - so she can't access half the exam papers unaided. 16 points. Nothing serious, but the pattern is talking over staff and refusing to move seats. Attendance 96.0% - never an issue. Lives with both parents and twin sisters in a house with a converted loft room. Supportive at home, but stretched thin. Runs gaming club and takes it more seriously than most of the staff do."
HAR1299,Hollie Larkin,F,8,8D,Ravensbourne,Mr P. Considine,2013-09-24,12.9,White British,English,No,Yes,None,,3.9,11y 3m,English,Food Technology,86.8,4,120,27,1,poor,True,False,"Hollie Larkin has a temper that goes from nought to shouting in about four seconds. Average working grade 3.9. English is well above the rest; Food Technology is dragging the profile down. 120 behaviour points, 1 suspension, and a permanent exclusion narrowly avoided after an incident with a vape and a fire alarm. Attendance 86.8% and falling. Weeks go by where nobody sees her. Lives with mum and her partner in a two-bed flat. Known across the year for Afrobeats."
HAR1300,Tiago Oliveira,M,8,8D,Ravensbourne,Mr P. Considine,2014-01-08,12.6,White Other (Portuguese / Brazilian),Portuguese,Yes - fluent,Yes,None,,2.5,10y 9m,Art,English,95.3,0,15,3,0,ok,False,False,"Tiago Oliveira can do the work when someone sits with him, and almost never does it when nobody does. Working at grade 2.5 on average, with Art the clear strength and English the obvious weak spot. Literacy is the bottleneck: reading age 10y 9m and handwriting that he's embarrassed about. 15 behaviour points and 3 detentions, all for the same three things. Attendance sits at 95.3% with no unauthorised absence. Lives with both parents, both working in the family business in a terraced house shared with an aunt's family. Known across the year for cars and car spotting."
HAR1301,Shahida Mia,F,8,8E,Beam,Mrs A. Rahman,2014-07-09,12.1,British Bangladeshi,Bengali,No,No,None,,5.5,11y 0m,Maths,English,95.3,1,2,1,0,good,False,False,"Shahida Mia is a decent worker who gets by on effort more than natural ability. Average working grade 5.5. Maths is well above the rest; English is dragging the profile down. 2 points logged, every one of them for uniform or equipment rather than conduct. Attendance 95.3%. The only absences are medical and always covered by a note. Lives with dad, who works two jobs in a house with a converted loft room. Parents' evening attendance is patchy, and it's shift work rather than a lack of interest. Talks about dog walking for money constantly, in and out of lesson."
HAR1302,Shahid Uddin,M,8,8E,Beam,Mrs A. Rahman,2014-01-27,12.6,British Bangladeshi,Sylheti,No,No,None,,4.3,10y 7m,English,Spanish,88.4,21,88,13,0,mixed,True,False,"Shahid Uddin is a solid, steady student who does what's asked and not a great deal more. Working at grade 4.3 on average, with English the clear strength and Spanish the obvious weak spot. 88 points logged - low-level stuff: chatting, out of seat, phone on the desk. 88.4% attendance - enough to trigger a letter home but not a fine. Lives in a two-bed flat with mum, dad and four siblings. Nobody at home has the confidence to challenge the school, which staff are conscious of. Big into fishing on the Lea."
HAR1303,Ekow Amoah,M,8,8E,Beam,Mrs A. Rahman,2014-03-10,12.5,Black African (Ghanaian),Twi,Yes - fluent,Yes,None,,4.3,11y 8m,Maths,English,100.0,1,8,0,0,good,False,False,"Ekow Amoah is quiet to the point of being invisible in some lessons and staff have to make an effort to notice him. Sits on grade 4.3 overall. Teachers in Maths rate him highly, staff in English much less so. 8 behaviour points, which for this school is nothing at all. Attendance 100.0% - never an issue. Lives with grandmother as main carer in a two-bed flat. Talks about streaming on Twitch constantly, in and out of lesson."
